0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MLA904346055,"Terreno Lote  En Venta Ubicado En Puertos, Escobar",175000,USD,2021-04-05T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904346055-terreno-lote-en-venta-ubicado-en-puertos-escobar-_JM,Bs.As. G.B.A. Norte,Escobar,Costas 300,Puertos,AR,Argentina,-34.332027,-58.731647,853.45 m²,853.45,m²
MLA904357726,Venta De Campo En Paraje Valle Escondido Loncopue,330000,USD,2021-02-16T23:23:07.000Z,https://terreno.mercadolibre.com.ar/MLA-904357726-venta-de-campo-en-paraje-valle-escondido-loncopue-_JM,Neuquén,Loncopué,Paraje Valle Escondido S/N,Loncopué,AR,Argentina,-38.07284,-70.61609,23566769 m²,23566769.0,m²
MLA904329661,Terreno - Pueblo Esther,55000,USD,2021-04-16T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904329661-terreno-pueblo-esther-_JM,Santa Fe,Rosario,"Km 25, Rp21, Fighiera, Santa Fe",Pueblo Esther,AR,Argentina,-33.18227,-60.42774,1185 m²,1185.0,m²
MLA904372966,Lote En Venta Paseo Jardín Confluencia - Neuquén,28000,USD,2021-02-16T23:23:07.000Z,https://terreno.mercadolibre.com.ar/MLA-904372966-lote-en-venta-paseo-jardin-confluencia-neuquen-_JM,Neuquén,Neuquén,Las Grutas 2900,Otros Barrios,AR,Argentina,-38.971455,-68.01984,250 m²,250.0,m²
MLA904412452,"Terreno En Venta - Jardínes De Limay, China Mta",700800,ARS,2021-02-16T23:23:07.000Z,https://terreno.mercadolibre.com.ar/MLA-904412452-terreno-en-venta-jardines-de-limay-china-mta-_JM,Neuquén,Neuquén,Raul Wallenberg - China Muerta S/N,Otros Barrios,AR,Argentina,-38.985867,-68.35217,250 m²,250.0,m²
MLA904402806,Venta Hermoso Lote Al Agua Acacias Puertos Escobar,119000,USD,2021-02-11T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904402806-venta-hermoso-lote-al-agua-acacias-puertos-escobar-_JM,Bs.As. G.B.A. Norte,Escobar,Puertos del Lago - Acacias,Puertos del Lago - Acacias,AR,Argentina,-34.35366,-58.73561,757 m²,757.0,m²
MLA904472614,Terreno En Venta En Km 314 Casas De Mar,15000,USD,2021-01-31T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904472614-terreno-en-venta-en-km-314-casas-de-mar-_JM,Bs.As. Costa Atlántica,San Clemente,Ruta 11 km 314 al 300,,AR,Argentina,-36.442085,-56.712467,855 m²,855.0,m²
MLA904472610,Terreno En Venta En Km 314 Casas De Mar,15000,USD,2021-01-31T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904472610-terreno-en-venta-en-km-314-casas-de-mar-_JM,Bs.As. Costa Atlántica,San Clemente,Ruta 11 km 314 al 300,,AR,Argentina,-36.442085,-56.712467,800 m²,800.0,m²
MLA904473650,"Lote | Antartida Argentina, A.",14500,USD,2021-03-01T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904473650-lote-antartida-argentina-a-_JM,Buenos Aires Interior,Capitán Sarmiento,"ANTARTIDA ARGENTINA, A. al 100",Capitán Sarmiento,AR,Argentina,-34.164352,-59.79605,300 m²,300.0,m²
MLA904475070,"Lote | Antartida Argentina, A.",14500,USD,2021-03-01T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904475070-lote-antartida-argentina-a-_JM,Buenos Aires Interior,Capitán Sarmiento,"ANTARTIDA ARGENTINA, A. al 100",Capitán Sarmiento,AR,Argentina,-34.165615,-59.795868,300 m²,300.0,m²
