0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MLA904529295,Lote En Venta En San Sebastian Al Agua Y En Area De Cancha De Golf,60000,USD,2021-04-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904529295-lote-en-venta-en-san-sebastian-al-agua-y-en-area-de-cancha-de-golf-_JM,Bs.As. G.B.A. Norte,Escobar,Boote y Luis Tagle,San Sebastián,AR,Argentina,-34.343872,-58.8852,923 m²,923.0,m²
MLA904509255,Venta De Lote En La Escondida En Lujan ,55000,USD,2021-02-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904509255-venta-de-lote-en-la-escondida-en-lujan-_JM,Buenos Aires Interior,Luján,,Loma Escondida,AR,Argentina,-34.46721,-59.11034,10000 m²,10000.0,m²
MLA904510174,Venta De Lotes En La Escondida En Lujan ,110000,USD,2021-02-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904510174-venta-de-lotes-en-la-escondida-en-lujan-_JM,Buenos Aires Interior,Luján,,Loma Escondida,AR,Argentina,-34.46721,-59.11034,20000 m²,20000.0,m²
MLA904566872,"Lote En Venta Santa Catalina, Tigre ",430000,USD,2021-02-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904566872-lote-en-venta-santa-catalina-tigre-_JM,Bs.As. G.B.A. Norte,Tigre,Santa Catalina Lote / N° 0,Santa Catalina,AR,Argentina,-34.425087,-58.57966,1600 m²,1600.0,m²
MLA904567495,"Lote Interno En Venta En Barrio Las Tipas, Nordelta",170000,USD,2021-02-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904567495-lote-interno-en-venta-en-barrio-las-tipas-nordelta-_JM,Bs.As. G.B.A. Norte,Tigre,Av. Lagos  Lote / N° 100,Nordelta Tipas,AR,Argentina,-34.402645,-58.668476,465 m²,465.0,m²
MLA904566486,Terrenos Y Lotes En Venta Barrio Las Tipas (nordelta),139000,USD,2021-02-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904566486-terrenos-y-lotes-en-venta-barrio-las-tipas-nordelta-_JM,Bs.As. G.B.A. Norte,Tigre,Av. De Los Lagos  Lote / N° 100,Nordelta Tipas,AR,Argentina,-34.396484,-58.63588,525 m²,525.0,m²
MLA904566285,Lote En Venta Barrio Santa Elena Pilar Del Este,26000,USD,2021-02-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904566285-lote-en-venta-barrio-santa-elena-pilar-del-este-_JM,Santa Fe,Las Colonias,Zelaya  1000,Pilar,AR,Argentina,-34.39772,-58.86198,549 m²,549.0,m²
MLA904567063,Terreno Alto Y Arbolado A Pasos De Laguna Del Sauce,50000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904567063-terreno-alto-y-arbolado-a-pasos-de-laguna-del-sauce-_JM,Uruguay,Maldonado,Calle laguna del Sauce al 100,,AR,Argentina,-34.864582,-55.067482,1320 m²,1320.0,m²
MLA904567035,Lote En Venta En Con Amarra Y Muelle Propio Barrio Albanueva,549000,USD,2021-02-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904567035-lote-en-venta-en-con-amarra-y-muelle-propio-barrio-albanueva-_JM,Bs.As. G.B.A. Norte,Tigre,Albanueva  Lote / N° 100,Albanueva,AR,Argentina,-34.408054,-58.616768,1056 m²,1056.0,m²
MLA904564927,Vendo Lote En Villa Constitución,45000,USD,2021-01-27T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904564927-vendo-lote-en-villa-constitucion-_JM,Santa Fe,Constitución,12 de Octubre al 1300,Villa Constitución,AR,Argentina,-33.234123,-60.336308,225 m²,225.0,m²
