0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MLA904048965,Oportunidad Hermoso Lote Greenville!!!,79200,USD,2021-04-03T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904048965-oportunidad-hermoso-lote-greenville-_JM,Bs.As. G.B.A. Sur,Berazategui,Autopista Buenos Aires La Plata Km al 100,,AR,Argentina,-34.753025,-58.19124,720 m²,720.0,m²
MLA904047812,Oportunidad Hermoso Lote Greenville!!!,79200,USD,2021-04-03T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904047812-oportunidad-hermoso-lote-greenville-_JM,Bs.As. G.B.A. Sur,Berazategui,Autopista Buenos Aires La Plata Km al 100,,AR,Argentina,-34.753025,-58.19124,720 m²,720.0,m²
MLA904047809,Oportunidad Hermoso Lote Greenville!!!,79200,USD,2021-04-03T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904047809-oportunidad-hermoso-lote-greenville-_JM,Bs.As. G.B.A. Sur,Berazategui,Autopista Buenos Aires La Plata Km al 100,,AR,Argentina,-34.753025,-58.19124,720 m²,720.0,m²
MLA904045717,Terreno En Venta En La Juanita,99000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904045717-terreno-en-venta-en-la-juanita-_JM,Uruguay,Maldonado,RUTA 10 al 100,Otras Ciudades,AR,Argentina,-34.83712,-54.658737,450 m²,450.0,m²
MLA904047463,Lote | Memorias,75000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904047463-lote-memorias-_JM,Uruguay,Maldonado,MEMORIAS al 100,,AR,Argentina,-34.902775,-55.03851,1297 m²,1297.0,m²
MLA904047983,Lote | Memorias,75000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904047983-lote-memorias-_JM,Uruguay,Maldonado,MEMORIAS al 100,,AR,Argentina,-34.902775,-55.03851,1262 m²,1262.0,m²
MLA904047459,Terreno En Venta En Santa Monica,32000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904047459-terreno-en-venta-en-santa-monica-_JM,Uruguay,Maldonado,RUTA 10 al 100,Otras Ciudades,AR,Argentina,-34.853462,-54.71186,420 m²,420.0,m²
MLA904045710,Terreno En Venta En Pueblo Mio,120000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904045710-terreno-en-venta-en-pueblo-mio-_JM,Uruguay,Maldonado,RUTA 104 al 100,Punta del Este,AR,Argentina,-34.86174,-54.830006,4000 m²,4000.0,m²
MLA904045709,Terreno En Venta En San Vicente,90000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904045709-terreno-en-venta-en-san-vicente-_JM,Uruguay,Maldonado,,Otras Ciudades,AR,Argentina,-34.876205,-54.76626,750 m²,750.0,m²
MLA904047967,Terreno En Venta En San Vicente,65000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904047967-terreno-en-venta-en-san-vicente-_JM,Uruguay,Maldonado,,Otras Ciudades,AR,Argentina,-34.87379,-54.76961,745 m²,745.0,m²
