01/17/2021 12:46:02 PM Current working directory: /Users/macbook/Documents/landlord/data/json/2021-01-17
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_5.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_7.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_19.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_20.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_3.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_1.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_6.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_18.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_4.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_2.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_10.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_12.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_8.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_16.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_14.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_13.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_11.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_15.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_9.jsonl
01/17/2021 12:46:02 PM Opening a file: 2021-01-17_17.jsonl
